Disease,Symptoms,Description,Precautions
Diabetes,,,"There is no known preventive measure for type 1 diabetes. However, islet autoimmunity and multiple antibodies can be a strong predictor of the onset of type 1 diabetes. Type 2 diabetes—which accounts for 85–90% of all cases worldwide—can often be prevented or delayed by maintaining a normal body weight, engaging in physical activity, and eating a healthy diet. Higher levels of physical activity (more than 90 minutes per day) reduce the risk of diabetes by 28%. Dietary changes known to be effective in helping to prevent diabetes include maintaining a diet rich in whole grains and fiber, and choosing good fats, such as the polyunsaturated fats found in nuts, vegetable oils, and fish. Limiting sugary beverages and eating less red meat and other sources of saturated fat can also help prevent diabetes. Tobacco smoking is also associated with an increased risk of diabetes and its complications, so smoking cessation can be an important preventive measure as well. The relationship between type 2 diabetes and the main modifiable risk factors (excess weight, unhealthy diet, physical inactivity and tobacco use) is similar in all regions of the world. There is growing evidence that the underlying determinants of diabetes are a reflection of the major forces driving social, economic and cultural change: globalization, urbanization, population aging, and the general health policy environment. Diabetes management concentrates on keeping blood sugar levels close to normal, without causing low blood sugar. This can usually be accomplished with dietary changes, exercise, weight loss, and use of appropriate medications (insulin, oral medications). Learning about the disease and actively participating in the treatment is important, since complications are far less common and less severe in people who have well-managed blood sugar levels. The goal of treatment is an HbA1C level below 7%. Attention is also paid to other health problems that may accelerate the negative effects of diabetes. These include smoking, high blood pressure, metabolic syndrome, obesity, and lack of regular exercise. Specialized footwear is widely used to reduce the risk of diabetic foot ulcers by relieving the pressure on the foot. Foot examination for patients living with diabetes should be done annually which includes sensation testing, foot biomechanics, vascular integrity and foot structure. Concerning those with severe mental illness, the efficacy of type 2 diabetes self-management interventions is still poorly explored, with insufficient scientific evidence to show whether these interventions have similar results to those observed in the general population."
Diabetes Insipidus,"Frequent urination, excessive thirst, dehydration","Frequent urination, excessive thirst, dehydration. ADH or kidney hormone disorders.",Consult a healthcare professional for accurate precautions.
Diabetes Mellitus Tipe 1,"Frequent thirst, frequent urination, weight loss","Frequent thirst, frequent urination, weight loss. Kerusakan autoimun sel beta pankreas.",Consult a healthcare professional for accurate precautions.
Diabetes Mellitus Tipe 2,"Frequent thirst, excessive urination, obesity","Frequent thirst, excessive urination, obesity. The body is insulin resistant.",Consult a healthcare professional for accurate precautions.
Diabetic Kidney Disease,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite","Diabetic nephropathy, also known as diabetic kidney disease, is the chronic loss of kidney function occurring in those with diabetes mellitus. Diabetic nephropathy is the leading cause of chronic kidney disease (CKD), and end-stage renal disease (ESRD) globally. The triad of protein leaking into the urine (proteinuria or albuminuria), rising blood pressure with hypertension and then falling renal function is common to many forms of CKD. Protein loss in the urine due to damage of the glomeruli may become massive, and cause a low serum albumin with resulting generalized body swelling (edema) so called nephrotic syndrome.",Consult a healthcare professional for accurate precautions.
Diabetic retinopathy,"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss","Diabetic retinopathy (also known as diabetic eye disease) is a medical condition in which damage occurs to the retina due to diabetes. It is a leading cause of blindness in developed countries and one of the leading causes of sight loss in the world, even though there are many new therapies and improved treatments for helping people living with diabetes. Diabetic retinopathy affects up to 80 percent of those who have had both type 1 and type 2 diabetes for 20 years or more.","There are four common treatments for diabetic retinopathy: anti-VEGF injections, steroid injections, panretinal laser photocoagulation, and vitrectomy. Current treatment regimens can prevent 90% of severe vision loss. Although these treatments are very successful (in slowing or stopping further vision loss), they do not cure diabetic retinopathy. Caution should be exercised in treatment with laser surgery since it causes a loss of retinal tissue. It is often more prudent to inject triamcinolone or anti-VEGF drugs. In some patients, it results in a marked increase in vision, especially if there is an edema of the macula. In addition, standard treatment for diabetic retinopathy includes improving control of blood sugar, blood pressure, and blood cholesterol, all of which can reduce diabetic retinopathy progression."
Diamond-Blackfan Anemia,"Severe anemia since infancy, weakness, slow growth","Severe anemia since infancy, weakness, slow growth. Impaired production of red blood cells in the bone marrow.","Corticosteroids can be used to treat anemia in DBA. In a large study of 225 patients, 82% initially responded to this therapy, although many side effects were noted. Some patients remained responsive to steroids, while efficacy waned in others. Blood transfusions can also be used to treat severe anemia in DBA. Periods of remission may occur, during which transfusions and steroid treatments are not required. Bone marrow transplantation (BMT) can cure hematological aspects of DBA. This option may be considered when patients become transfusion-dependent because frequent transfusions can lead to iron overloading and organ damage. However, adverse events from BMTs may exceed those from iron overloading. A 2007 one-subject study showed the potential efficacy of leucine and isoleucine supplementation."
Diare,"Throw liquid water more than 3x, dehydration, nausea","Throw liquid water more than 3x, dehydration, nausea. Viral, bacterial infection, or food poisoning.",Consult a healthcare professional for accurate precautions.
Difteri,"Sore throat, white film in the throat","Sore throat, white film in the throat. Corynebacterium diphtheriae bacterial infection.",Consult a healthcare professional for accurate precautions.
Dimorphic hemorrhoids(piles),,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",Consult a healthcare professional for accurate precautions.
Dislocation of the Ankle,"Swelling, severe pain, inability to bear weight","A joint dislocation, also called luxation, occurs when there is an abnormal separation in the joint, where two or more bones meet. A partial dislocation is referred to as a subluxation. Dislocations are commonly caused by sudden trauma to the joint like during a car accident or fall.",Consult a healthcare professional for accurate precautions.
Dislocation of the Elbow,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","The elbow is the region between the upper arm and the forearm that surrounds the elbow joint. The elbow includes prominent landmarks such as the olecranon, the cubital fossa (also called the chelidon, or the elbow pit), and the lateral and the medial epicondyles of the humerus. The elbow joint is a hinge joint between the arm and the forearm; more specifically between the humerus in the upper arm and the radius and ulna in the forearm which allows the forearm and hand to be moved towards and away from the body.",Consult a healthcare professional for accurate precautions.
Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg","A patellar dislocation is a knee injury in which the patella (kneecap) slips out of its normal position. Often the knee is partly bent, painful and swollen. The patella is also often felt and seen out of place.",Consult a healthcare professional for accurate precautions.
Dispepsia,"Flatulence, nausea, feeling full quickly","Flatulence, nausea, feeling full quickly. Functional indigestion or acid reflux.",Consult a healthcare professional for accurate precautions.
Diverticulitis,,"Diverticulitis, also called colonic diverticulitis, is a gastrointestinal disease characterized by inflammation of abnormal pouches—diverticula—that can develop in the wall of the large intestine. Symptoms typically include lower abdominal pain of sudden onset, but the onset may also occur over a few days. There may also be nausea, diarrhea or constipation.","The causes of diverticulitis are poorly understood. Formation of diverticula is regarded as likely due to interactions of age, diet, colonic microbiota, genetic factors, colonic motility, and changes in colonic structure. In uncomplicated diverticulitis, administration of fluids may be sufficient treatment if no other risk factors are present."
Diverticulosis,"Abdominal pain, bloating, changes in bowel movements","Diverticulitis, also called colonic diverticulitis, is a gastrointestinal disease characterized by inflammation of abnormal pouches—diverticula—that can develop in the wall of the large intestine. Symptoms typically include lower abdominal pain of sudden onset, but the onset may also occur over a few days. There may also be nausea, diarrhea or constipation.","Many people with diverticulosis have minimal to no symptoms and do not require any specific treatment. Colonic stimulants should be avoided. Treatments, like some colon cleansers, that cause hard stools, constipation, and straining, are not recommended."
Down Syndrome,,"Down syndrome or Down's syndrome, also known as trisomy 21, is a genetic disorder caused by the presence of all or part of a third copy of chromosome 21. It is usually associated with developmental delays, mild to moderate intellectual disability, and characteristic physical features. The parents of the affected individual are usually genetically normal.","Efforts such as early childhood intervention, therapies, screening for common medical issues, a good family environment, and work-related training can improve the development of children with Down syndrome and provide good quality of life. Common therapies utilized include physical therapy, occupational therapy and speech therapy. Education and proper care can provide a positive quality of life. Typical childhood vaccinations are recommended."
Drug Abuse (Barbiturates),"Sedation, drowsiness, slurred speech, confusion, respiratory depression","Barbiturates are a class of depressant drugs that are chemically derived from barbituric acid. They are effective when used medically as anxiolytics, hypnotics, and anticonvulsants, but have physical and psychological addiction potential as well as overdose potential among other possible adverse effects. They have been used recreationally for their anti-anxiety and sedative effects, and are thus controlled in most countries due to the risks associated with such use.",Consult a healthcare professional for accurate precautions.
Drug Abuse (Cocaine),"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke","Crack cocaine, commonly known simply as crack, and also known as rock, is a free base form of the stimulant cocaine that can be smoked. Crack offers a short, intense high to smokers. The Manual of Adolescent Substance Abuse Treatment calls it the most addictive form of cocaine.",Consult a healthcare professional for accurate precautions.
Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat",Methamphetamine is a central nervous system (CNS) stimulant that is primarily used as a recreational or performance-enhancing drug and less commonly as a second-line treatment for attention deficit hyperactivity disorder (ADHD). It has also been researched as a potential treatment for traumatic brain injury. Methamphetamine was discovered in 1893 and exists as two enantiomers: levo-methamphetamine and dextro-methamphetamine.,Consult a healthcare professional for accurate precautions.
Drug Reaction,"Rash, itching, swelling, fever, respiratory symptoms",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Consult a healthcare professional for accurate precautions.
Drug Withdrawal,"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings","Drug withdrawal, drug withdrawal syndrome, or substance withdrawal syndrome is the group of symptoms that occur upon the abrupt discontinuation or decrease in the intake of pharmaceutical or recreational drugs. In order for the symptoms of withdrawal to occur, one must have first developed a form of drug dependence. This may occur as physical dependence, psychological dependence, or both.",Consult a healthcare professional for accurate precautions.
Dry Skin,"Dry, flaky skin with itching","Xeroderma is a skin condition characterized by excessively dry skin. The synonyms xerosis and xerosis cutis are sometimes used in a medical context. Colloquially, xeroderma may be referred to as dry skin or as ashiness or ashy skin when present in dark skin.",Consult a healthcare professional for accurate precautions.
Dysthymic Disorder,"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years","Dysthymia ( dihss-THY-mee-ə), known as persistent depressive disorder (PDD) in the DSM-5-TR and dysthymic disorder in ICD-11, is a psychiatric condition marked by symptoms that are similar to those of major depressive disorder, but which persist for at least two years in adults and one year among pediatric populations. The term was introduced by Robert Spitzer in the late 1970s as a replacement for the concept of ""depressive personality."" With the DSM-5's publication in 2013, the condition assumed its current name (i.e., PDD), having been called dysthymic disorder in the DSM's previous edition (DSM-IV), and remaining so in ICD-11. PDD is defined by a 2-year history of symptoms of major depression not better explained by another health condition, as well as significant distress or functional impairment.","Though there is no clear-cut way to prevent dysthymia from occurring, there are some suggestions to help reduce its effects. Since dysthymia often appears first in childhood, it is important to identify children who may be at risk. It may be beneficial to work with children in helping to control their stress, increase resilience, boost self-esteem, and provide strong social support networks. These tactics may be helpful in warding off or delaying dysthymic symptoms. Persistent depressive disorder can be treated with psychotherapy and pharmacotherapy. The overall rate and degree of treatment success is somewhat lower than for non-chronic depression, and a combination of psychotherapy and pharmacotherapy shows the best results."
E. coli,"Diarrhea, abdominal pain, vomiting, fever","Diarrhea, abdominal pain, vomiting, fever. Escherichia coli bacterial infection, often from contaminated food/drinks.",Consult a healthcare professional for accurate precautions.
"Eating Disorders (Anorexia,...",,Promotion of anorexia is the promotion of behaviors related to the eating disorder anorexia nervosa. It is often referred to simply as pro-ana or ana. The lesser-used term pro-mia refers likewise to bulimia nervosa and is sometimes used interchangeably with pro-ana.,Consult a healthcare professional for accurate precautions.
Ebola,"High fever, vomiting, diarrhea, internal/external bleeding","High fever, vomiting, diarrhea, internal/external bleeding. Ebola virus infection from direct contact with body fluids.","As of 2019 two treatments (atoltivimab/maftivimab/odesivimab and ansuvimab) are associated with improved outcomes. The U.S. Food and Drug Administration (FDA) advises people to be careful of advertisements making unverified or fraudulent claims of benefits supposedly gained from various anti-Ebola products. In October 2020, the U.S. Food and Drug Administration (FDA) approved atoltivimab/maftivimab/odesivimab with an indication for the treatment of infection caused by Zaire ebolavirus."
Ebola Virus,,"Ebola, also known as Ebola virus disease (EVD) and Ebola hemorrhagic fever (EHF), is a viral hemorrhagic fever in humans and other primates, caused by ebolaviruses. Symptoms typically start anywhere between two days and three weeks after infection. The first symptoms are usually fever, sore throat, muscle pain, and headaches.","As of 2019 two treatments (atoltivimab/maftivimab/odesivimab and ansuvimab) are associated with improved outcomes. The U.S. Food and Drug Administration (FDA) advises people to be careful of advertisements making unverified or fraudulent claims of benefits supposedly gained from various anti-Ebola products. In October 2020, the U.S. Food and Drug Administration (FDA) approved atoltivimab/maftivimab/odesivimab with an indication for the treatment of infection caused by Zaire ebolavirus."
Ectopic Pregnancy,"Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)",,Consult a healthcare professional for accurate precautions.
Eczema,"Itchy, red, inflamed skin, rash","Dermatitis is a term used for different types of skin inflammation, typically characterized by itchiness, redness and a rash. In cases of short duration, there may be small blisters, while in long-term cases the skin may become thickened. The area of skin involved can vary from small to covering the entire body.","There have been various studies on the prevention of dermatitis through diet, none of which have proven any positive effect. Exclusive breastfeeding of infants during at least the first few months may decrease the risk. There is no good evidence that a mother's diet during pregnancy or breastfeeding affects the risk, nor is there evidence that delayed introduction of certain foods is useful. There is tentative evidence that probiotics in infancy may reduce rates but it is insufficient to recommend its use. There is moderate certainty evidence that the use of skin care interventions such as emollients within the first year of life of an infant's life is not effective in preventing eczema. In fact, it may increase the risk of skin infection and of unwanted effects such as allergic reaction to certain moisturizers and a stinging sensation. There is no known cure for some types of dermatitis, with treatment aiming to control symptoms by reducing inflammation and relieving itching. Contact dermatitis is treated by avoiding what is causing it. Seborrheic dermatitis is treated with antifungals such as anti-dandruff shampoo."
Edward Syndrome,"Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects","Trisomy 18, also known as Edwards syndrome, is a genetic disorder caused by the presence of a third copy of all or part of chromosome 18. Many parts of the body are affected. Babies are often born small and have heart defects.",Consult a healthcare professional for accurate precautions.
Eklampsia,"Pregnancy with seizures, high blood pressure","Pregnancy with seizures, high blood pressure. Komplikasi preeklamsia pada kehamilan.",Consult a healthcare professional for accurate precautions.
Emfisema,"Shortness of breath, chronic cough, decreased lung capacity","Shortness of breath, chronic cough, decreased lung capacity. Damage to the lung alveoli due to smoking/exposure to pollution.",Consult a healthcare professional for accurate precautions.
Emphysema,"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss","Emphysema is a condition of the lung marked by abnormal enlargement of the alveoli with loss of pulmonary elasticity. Most commonly, emphysema refers to the permanent enlargement of air spaces (alveoli) in the lungs, and is also known as pulmonary emphysema. Emphysema is a lower respiratory tract disease, characterised by enlarged air-filled spaces in the lungs, that can vary in size and may be very large.",Consult a healthcare professional for accurate precautions.
Empyema,"Fever, chest pain, productive cough with foul-smelling or bloody sputum","Emphysema is a condition of the lung marked by abnormal enlargement of the alveoli with loss of pulmonary elasticity. Most commonly, emphysema refers to the permanent enlargement of air spaces (alveoli) in the lungs, and is also known as pulmonary emphysema. Emphysema is a lower respiratory tract disease, characterised by enlarged air-filled spaces in the lungs, that can vary in size and may be very large.",Consult a healthcare professional for accurate precautions.
Encephalitis,"Headache, fever, confusion, seizures, neurological symptoms","Encephalitis (US: , UK: ) is inflammation of the brain. The severity can be variable with symptoms including reduction or alteration in consciousness, aphasia, headache, fever, confusion, a stiff neck, and vomiting. Complications may include seizures, hallucinations, trouble speaking, memory problems, and problems with hearing.","Vaccination is available against tick-borne and Japanese encephalitis and should be considered for at-risk individuals. Post-infectious encephalomyelitis complicating smallpox vaccination is avoidable, for all intents and purposes, as smallpox is nearly eradicated. Contraindication to Pertussis immunization should be observed in patients with encephalitis. An ideal drug to treat brain infection should be small, moderately lipophilic at pH of 7.4, low level of plasma protein binding, volume of distribution of litre per kg, does not have strong affinity towards binding with P-glycoprotein, or other efflux pumps on the surface of the blood–brain barrier. Some drugs such as isoniazid, pyrazinamide, linezolid, metronidazole, fluconazole, and some fluoroquinolones have good penetration of the blood brain barrier. Treatment (which is based on supportive care) is as follows: Pyrimethamine-based maintenance therapy is often used to treat toxoplasmic encephalitis (TE), which is caused by Toxoplasma gondii and can be life-threatening for people with weak immune systems. The use of highly active antiretroviral therapy (HAART), in conjunction with the established pyrimethamine-based maintenance therapy, decreases the chance of relapse in patients with HIV and TE from approximately 18% to 11%. This is a significant difference as relapse may impact the severity and prognosis of disease and result in an increase in healthcare expenditure. The effectiveness of intravenous immunoglobulin for the management of childhood encephalitis is unclear. Systematic reviews have been unable to draw firm conclusions because of a lack of randomised double-blind studies with sufficient numbers of patients and sufficient follow-up. There is the possibility of a benefit of intravenous immunoglobulin for some forms of childhood encephalitis on some indicators such as length of hospital stay, time to stop spasms, time to regain consciousness, and time to resolution of neuropathic symptoms and fever. Intravenous immunoglobulin for Japanese encephalitis appeared to have no benefit when compared with placebo (pretend) treatment."
Endokarditis,"Fever, muscle aches, shortness of breath, palpitations","Fever, muscle aches, shortness of breath, palpitations. Infection of the lining of the heart (endocardium) by bacteria/fungi.",Consult a healthcare professional for accurate precautions.
Endometrial Cancer,"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits",Endometrial cancer is a cancer that arises from the endometrium (the lining of the uterus or womb). It is the result of the abnormal growth of cells that can invade or spread to other parts of the body. The first sign is most often vaginal bleeding not associated with a menstrual period.,Consult a healthcare professional for accurate precautions.
Endometriosis,"Pelvic pain, painful periods, infertility","Severe menstrual pain, difficulty getting pregnant. Endometrial tissue grows outside the uterus.","According to the World Health Organization, there is no known way to prevent endometriosis. There are associations between some risk factors and endometriosis: women with endometriosis tend to consume more red meat, trans fats, alcohol and caffeine. Physical activity does not seem to prevent endometriosis, but can lessen pain. It is unclear whether these links are causative. While there is no cure for endometriosis, there are treatments for pain and endometriosis-associated infertility. Pain can be treated with hormones, painkillers, or, in severe cases, surgery. The goal of management is to provide pain relief, to restrict the progression of the process, and to restore or preserve fertility where needed. Treatment with medication for pain management can be initiated based on the presence of symptoms, examination, and ultrasound findings that rule out other potential causes. The UK National Institute for Health and Care Excellence recommends starting initial medication for those with suspected endometriosis, at the same time as referral for investigations such as ultrasound. In general, the diagnosis of endometriosis is confirmed during surgery, at which time removal can be performed. Further steps depend on circumstances: someone without infertility can manage symptoms with pain medication and hormonal medication that suppresses the natural cycle, while an infertile individual may be treated expectantly after surgery, with fertility medication, or with in vitro fertilisation (IVF)."
Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Endophthalmitis, or endophthalmia, is inflammation of the interior cavity of the eye, usually caused by an infection. It is a possible complication of all intraocular surgeries, particularly cataract surgery, and can result in loss of vision or loss of the eye itself. Infection can be caused by bacteria or fungi, and is classified as exogenous (infection introduced by direct inoculation as in surgery or penetrating trauma), or endogenous (organisms carried by blood vessels to the eye from another site of infection and is more common in people who have an immunocompromised state).","Different approaches have been suggested to prevent exogenous endophthalmitis after cataract surgery. Perioperative antibiotic injections into the eye, specifically cefuroxime at the end of surgery, lowers the chance of endophthalmitis. Moderate evidence also supports antibiotic eye drops (levofloxacin or chloramphenicol) with antibiotic injections (cefuroxime or penicillin) to reduce the risk of endophthalmitis after cataract surgery compared with injections or eye drops alone. Periocular injection of penicillin along with chloramphenicol-suphadimidine eye drops and an intracameral cefuroxime injection with topical levofloxacin also reduces the risk reduction of developing endophthalmitis following cataract surgery for some people. For people undergoing intravitreal injections, antibiotics are not as effective at preventing this type of infection. Studies have demonstrated no difference between rates of infection with and without antibiotics when intravitreal injections are performed. There is evidence to suggest that a solution of povidone-iodine and antibiotics applied pre-injection may be effective at preventing some cases of endophthalmitis in people undergoing intravitreal injections. Intravenous antibiotics given prophylactically in those with penetrating eye trauma has shown a reduction in the incidence of exogenous endophthalmitis. Urgent medical attention is required if a person has suspected endophthalmitis. Intravitreal injection of antibiotics are indicated in bacterial endophthalmitis. Intravitreal injections of vancomycin (targeted against Gram-positive bacteria) and ceftazidime (targeting Gram-negative bacteria) are routine. Even though antibiotics can have negative impacts on the retina in high concentrations, since visual acuity worsens in 65% of endophthalmitis patients and prognosis gets poorer the longer an infection goes untreated, most medical professionals make the clinical judgment decision that immediate intervention with antibiotics is necessary. Fungal pathogens are treated with intravitreal injections of amphotericin B or voriconazole. Systemic antibiotics or anti-fungals are used in those with endogenous endophthalmitis with associated bacteremia or fungemia. People with endophthalmitis may also require an urgent surgery (pars plana vitrectomy). In some cases, evisceration may be necessary to remove a severe and intractable infection which could result in a blind and painful eye. In people with acute endophthalmitis, combined steroid treatment with antibiotics have been found to improve visual outcomes, versus patients only treated with antibiotics, but any improvements on the resolution acute endophthalmitis is unknown."
Ensefalitis,"Fever, convulsions, loss of consciousness","Fever, convulsions, loss of consciousness. Inflammation of the brain due to viral/bacterial infection.",Consult a healthcare professional for accurate precautions.
Enteritis,"Diarrhea, nausea, vomiting, stomach cramps","Diarrhea, nausea, vomiting, stomach cramps. Intestinal inflammation due to bacteria/viruses/parasites.","Mild cases usually do not require treatment and will go away after a few days in healthy people. In cases where symptoms persist or when it is more severe, specific treatments based on the initial cause may be required. In cases where persistent diarrhea is present, replenishing lost fluids by mouth is recommended, and for severe diarrhea intravenous hydration therapy and antibiotics may be required. A simple oral rehydration therapy (ORS) can be made by dissolving one teaspoon of salt, eight teaspoons of sugar and the juice of an orange into one litre of clean water. Studies have shown the efficacy of antibiotics in reducing the duration of the symptoms of infectious enteritis of bacterial origin, however antibiotic treatments are usually not required due to the self-limiting duration of infectious enteritis."
Enterobiasis,"Anal itching, especially at night, difficulty sleeping","Anal itching, especially at night, difficulty sleeping. Enterobius vermicularis pinworm infection.","Pinworm infection cannot be totally prevented under most circumstances. This is due to the prevalence of the parasite and the ease of transmission through soiled night clothes, airborne eggs, contaminated furniture, toys and other objects. Infection may occur in the highest strata of society, where hygiene and nutritional status are typically high. The stigma associated with pinworm infection is hence considered a possible over-emphasis. Counselling is sometimes needed for upset parents who have discovered their children are infected, as they may not realize how prevalent the infection is. Preventive action revolves around personal hygiene and the cleanliness of the living quarters. The rate of reinfection can be reduced through hygienic measures, and this is recommended especially in recurring cases. The main measures are keeping fingernails short, and washing and scrubbing hands and fingers carefully, especially after defecation and before meals. Showering every morning is also highly recommended to wash off any eggs that may be still lying on the skin. Under ideal conditions, bed covers, sleeping garments, and hand towels should be changed daily and clothes and linens should be washed in hot water and then be placed in a hot dryer in order to kill off any eggs. Children can wear gloves while asleep, and the bedroom floor should be kept clean. Regular disinfection of kitchen and bathroom surfaces will help to prevent spread as well. Food should be covered to limit contamination with dust-borne parasite eggs. It is not recommended to shake clothes and bed linen as the eggs may detach and spread or to share clothes and towels. Nail biting and sucking on fingers is also discouraged. Medication is the primary treatment for pinworm infection. However, reinfection is frequent regardless of the medication used. Total elimination of the parasite in a household may require repeated doses of medication for up to a year or more. Because the drugs kill the adult pinworms, but not the eggs, the first retreatment is recommended in two weeks. Also, if one household member spreads the eggs to another, it will be a matter of two or three weeks before those eggs become adult worms and thus amenable to treatment. Asymptomatic infections, often in small children, can serve as reservoirs of infection, and therefore the entire household should be treated regardless of whether or not symptoms are present. The benzimidazole compounds albendazole (brand names e.g., Albenza, Eskazole, Zentel and Andazol) and mebendazole (brand names e.g., Ovex, Vermox, Antiox and Pripsen) are the most effective. They work by inhibiting the microtubule function in the pinworm adults, causing glycogen depletion, thereby effectively starving the parasite. A single 100 milligram dose of mebendazole with one repetition after two weeks, is considered the safest, and is usually effective with cure rate of 96%. Mebendazole has no serious side effects, although abdominal pain and diarrhea have been reported. Pyrantel pamoate (also called pyrantel embonate, brand names e.g., Reese's Pinworm Medicine, Pin-X, Combantrin, Anthel, Helmintox, and Helmex) kills adult pinworms through neuromuscular blockade, and is considered as effective as the benzimidazole compounds and is used as a second-line medication. Pyrantel pamoate is available over the counter and does not require a prescription. Pinworms located in the genitourinary system (in this case, female genital area) may require other drug treatments."
Enterobius,"Anal itching, especially at night, disturbed sleep","Anal itching, especially at night, disturbed sleep. Enterobius pinworm infection",Consult a healthcare professional for accurate precautions.
Ependymoma,"Headaches, nausea, seizures, changes in coordination or balance","An ependymoma is a tumor that arises from the ependyma, a tissue of the central nervous system. Usually, in pediatric cases the location is intracranial, while in adults it is spinal. The common location of intracranial ependymomas is the floor of the fourth ventricle.","Guidelines for initial management for ependymoma are maximum surgical resection followed by radiation. Chemotherapy is of limited use and reserved for special cases, including young children and those with tumor present after resection. Prophylactic craniospinal irradiation is of variable use and is a source of controversy given that most recurrence occurs at the site of resection and therefore is of debatable efficacy. Confirmation of cerebrospinal infiltration warrants more expansive radiation fields. Prognosis of recurrence is poor and often indicates palliative care to manage symptoms."
Epidermolysis Bullosa,"Fragile skin, blisters appear easily, wounds are difficult to heal","Fragile skin, blisters appear easily, wounds are difficult to heal. Genetic disorders of skin proteins.","Research has focused on changing the mixture of keratins produced in the skin. There are 54 known keratin genes—of which 28 belong to the type I intermediate filament genes and 26 to type II—which work as heterodimers. Many of these genes share substantial structural and functional similarity, but they are specialized to cell type and/or conditions under which they are normally produced. If the balance of production could be shifted away from the mutated, dysfunctional keratin gene toward an intact keratin gene, symptoms could be reduced. For example, sulforaphane, a compound found in broccoli, was found to reduce blistering in a mouse model to the point where affected pups could not be identified visually, when injected into pregnant mice (5 μmol/day = 0.9 mg) and applied topically to newborns (1 μmol/day = 0.2 mg in jojoba oil). As of 2008, clinical research at the University of Minnesota has explored allogeneic bone marrow transplantation for RD and junctional EB, treating a two-year-old child who is one of two brothers with EB. A second transplant has also been performed on the child's older brother. A Missouri boy has also successfully undergone the transplant, as well as a 5 year old boy from Alabama. So far there have been 12 successful transplants. Another transplant is scheduled for a California baby. A clinical trial is planned for 30 subjects. However, the immune suppression that bone marrow transplantation requires causes a risk of serious infections with large scale blisters and skin erosion. Indeed, at least four people have died in the course of either preparation for or institution of bone marrow transplantation for EB, out of only a small group of patients treated so far. The mechanism of action of this therapy is unclear as hematopoietic stem cells are not thought to contribute to epithelial lineages. Rather, it is speculated that cross-correction from tissue-resident graft-derived immune cells contributes to the observed clinical benefit. A pilot study performed in 2015 suggests that systemic granulocyte-colony stimulating factor (G-CSF) may promote increased wound healing in people with dystrophic EB. Transplanting skin derived from genetically modified stem cells onto the wound surfaces has been studied with a report of improvements in one person. A 2017 clinical trial with male RDEB (recessive dystrophic EB) patients conducted successful grafting of type VII gene corrected keratinocytes (COL7A1 gene correction using retrovirus transduction), without any serious adverse effects. Type VII collage formation was observed at the dermis-epidermis junction in significant amounts. A 2020 study demonstrated the safe allogenic grafting of acellular dermal matrix/scaffolds in EB patients without any observed infection or necrosis and instead noted fewer required dressing changes, promoted wound healing, pain reduction, and an overall improvement in the quality of life of the patients. In 2022, a pharmaceutical gel made out of birch bark extract from Betula pendula and Betula pubescens was approved by the European Union as a treatment for epidermolysis bullosa."
